Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
647	71107	nan	nan	nan	0
648	71215	nan	nan	nan	0
649	71323	nan	nan	nan	0
650	71431	nan	nan	nan	0
651	71539	nan	nan	nan	0
652	71647	nan	nan	nan	0
653	71755	nan	nan	nan	0
654	71863	nan	nan	nan	0
655	71971	nan	nan	nan	0
656	72079	nan	nan	nan	0
657	72187	nan	nan	nan	0
660	72511	nan	nan	nan	0
661	72619	nan	nan	nan	0
662	72727	nan	nan	nan	0
663	72835	nan	nan	nan	0
665	73051	nan	nan	nan	0
666	73159	nan	nan	nan	0
667	73267	nan	nan	nan	0
668	73375	nan	nan	nan	0
669	73483	nan	nan	nan	0
672	73807	nan	nan	nan	0
673	73915	nan	nan	nan	0
674	74023	nan	nan	nan	0
677	74347	nan	nan	nan	0
678	74455	nan	nan	nan	0
681	74779	nan	nan	nan	0
683	74995	nan	nan	nan	0
684	75103	nan	nan	nan	0
685	75211	nan	nan	nan	0
686	75319	nan	nan	nan	0
687	75427	nan	nan	nan	0
688	75535	nan	nan	nan	0
689	75643	nan	nan	nan	0
691	75859	nan	nan	nan	0
692	75967	nan	nan	nan	0
694	76183	nan	nan	nan	0
695	76291	nan	nan	nan	0
697	76507	nan	nan	nan	0
698	76615	nan	nan	nan	0
699	76723	nan	nan	nan	0
701	76939	nan	nan	nan	0
703	77155	nan	nan	nan	0
704	77263	nan	nan	nan	0
706	77479	nan	nan	nan	0
708	77695	nan	nan	nan	0
709	77803	nan	nan	nan	0
710	77911	nan	nan	nan	0
711	78019	nan	nan	nan	0
712	78127	nan	nan	nan	0
714	78343	nan	nan	nan	0
715	78451	nan	nan	nan	0
716	78559	nan	nan	nan	0
717	78667	nan	nan	nan	0
719	78883	nan	nan	nan	0
720	78991	nan	nan	nan	0
721	79099	nan	nan	nan	0
722	79207	nan	nan	nan	0
723	79315	nan	nan	nan	0
724	79423	nan	nan	nan	0
725	79531	nan	nan	nan	0
726	79639	nan	nan	nan	0
727	79747	nan	nan	nan	0
728	79855	nan	nan	nan	0
731	80179	nan	nan	nan	0
734	80503	nan	nan	nan	0
735	80611	nan	nan	nan	0
736	80719	nan	nan	nan	0
737	80827	nan	nan	nan	0
738	80935	nan	nan	nan	0
740	81151	nan	nan	nan	0
741	81259	nan	nan	nan	0
742	81367	nan	nan	nan	0
743	81475	nan	nan	nan	0
744	81583	nan	nan	nan	0
745	81691	nan	nan	nan	0
746	81799	nan	nan	nan	0
751	82339	nan	nan	nan	0
752	82447	nan	nan	nan	0
754	82663	nan	nan	nan	0
755	82771	nan	nan	nan	0
757	82987	nan	nan	nan	0
759	83203	nan	nan	nan	0
762	83527	nan	nan	nan	0
764	83743	nan	nan	nan	0
765	83851	nan	nan	nan	0
766	83959	nan	nan	nan	0
768	84175	nan	nan	nan	0
769	84283	nan	nan	nan	0
770	84391	nan	nan	nan	0
771	84499	nan	nan	nan	0
772	84607	nan	nan	nan	0
774	84823	nan	nan	nan	0
776	85039	nan	nan	nan	0
777	85147	nan	nan	nan	0
778	85255	nan	nan	nan	0
779	85363	nan	nan	nan	0
780	85471	nan	nan	nan	0
781	85579	nan	nan	nan	0
782	85687	nan	nan	nan	0
783	85795	nan	nan	nan	0
785	86011	nan	nan	nan	0
786	86119	nan	nan	nan	0
787	86227	nan	nan	nan	0
788	86335	nan	nan	nan	0
789	86443	nan	nan	nan	0
790	86551	nan	nan	nan	0
791	86659	nan	nan	nan	0
792	86767	nan	nan	nan	0
793	86875	nan	nan	nan	0
795	87091	nan	nan	nan	0
796	87199	nan	nan	nan	0
797	87307	nan	nan	nan	0
798	87415	nan	nan	nan	0
799	87523	nan	nan	nan	0
800	87631	nan	nan	nan	0
801	87739	nan	nan	nan	0
802	87847	nan	nan	nan	0
803	87955	nan	nan	nan	0
804	88063	nan	nan	nan	0
805	88171	nan	nan	nan	0
806	88279	nan	nan	nan	0
807	88387	nan	nan	nan	0
808	88495	nan	nan	nan	0
810	88711	nan	nan	nan	0
811	88819	nan	nan	nan	0
812	88927	nan	nan	nan	0
813	89035	nan	nan	nan	0
814	89143	nan	nan	nan	0
815	89251	nan	nan	nan	0
816	89359	nan	nan	nan	0
817	89467	nan	nan	nan	0
818	89575	nan	nan	nan	0
826	90439	nan	nan	nan	0
830	90871	nan	nan	nan	0
832	91087	nan	nan	nan	0
833	91195	nan	nan	nan	0
835	91411	nan	nan	nan	0
836	91519	nan	nan	nan	0
841	92059	nan	nan	nan	0
842	92167	nan	nan	nan	0
844	92383	nan	nan	nan	0
848	92815	nan	nan	nan	0
849	92923	nan	nan	nan	0
851	93139	nan	nan	nan	0
854	93463	nan	nan	nan	0
855	93571	nan	nan	nan	0
856	93679	nan	nan	nan	0
857	93787	nan	nan	nan	0
858	93895	nan	nan	nan	0
862	94327	nan	nan	nan	0
865	94651	nan	nan	nan	0
866	94759	nan	nan	nan	0
869	95083	nan	nan	nan	0
871	95299	nan	nan	nan	0
872	95407	nan	nan	nan	0
873	95515	nan	nan	nan	0
874	95623	nan	nan	nan	0
876	95839	nan	nan	nan	0
877	95947	nan	nan	nan	0
878	96055	nan	nan	nan	0
879	96163	nan	nan	nan	0
880	96271	nan	nan	nan	0
884	96703	nan	nan	nan	0
885	96811	nan	nan	nan	0
886	96919	nan	nan	nan	0
887	97027	nan	nan	nan	0
889	97243	nan	nan	nan	0
890	97351	nan	nan	nan	0
893	97675	nan	nan	nan	0
894	97783	nan	nan	nan	0
895	97891	nan	nan	nan	0
899	98323	nan	nan	nan	0
900	98431	nan	nan	nan	0
901	98539	nan	nan	nan	0
903	98755	nan	nan	nan	0
904	98863	nan	nan	nan	0
906	99079	nan	nan	nan	0
907	99187	nan	nan	nan	0
911	99619	nan	nan	nan	0
916	100159	nan	nan	nan	0
923	100915	nan	nan	nan	0
930	101671	nan	nan	nan	0
931	101779	nan	nan	nan	0
932	101887	nan	nan	nan	0
933	101995	nan	nan	nan	0
934	102103	nan	nan	nan	0
935	102211	nan	nan	nan	0
937	102427	nan	nan	nan	0
938	102535	nan	nan	nan	0
939	102643	nan	nan	nan	0
940	102751	nan	nan	nan	0
941	102859	nan	nan	nan	0
944	103183	nan	nan	nan	0
945	103291	nan	nan	nan	0
946	103399	nan	nan	nan	0
957	104587	nan	nan	nan	0
965	105451	nan	nan	nan	0
966	105559	nan	nan	nan	0
971	106099	nan	nan	nan	0
974	106423	nan	nan	nan	0
975	106531	nan	nan	nan	0
980	107071	nan	nan	nan	0
983	107395	nan	nan	nan	0
989	108043	nan	nan	nan	0
990	108151	nan	nan	nan	0
991	108259	nan	nan	nan	0
995	108691	nan	nan	nan	0
1004	109663	nan	nan	nan	0
1012	110527	nan	nan	nan	0
1017	111067	nan	nan	nan	0
1018	111175	nan	nan	nan	0
1022	111607	nan	nan	nan	0
1031	112579	nan	nan	nan	0
1046	114199	nan	nan	nan	0
1048	114415	nan	nan	nan	0
1053	114955	nan	nan	nan	0
1054	115063	nan	nan	nan	0
1055	115171	nan	nan	nan	0
1056	115279	nan	nan	nan	0
1064	116143	nan	nan	nan	0
1066	116359	nan	nan	nan	0
1067	116467	nan	nan	nan	0
1069	116683	nan	nan	nan	0
1070	116791	nan	nan	nan	0
1073	117115	nan	nan	nan	0
1074	117223	nan	nan	nan	0
1076	117439	nan	nan	nan	0
1113	121435	nan	nan	nan	0
1122	122407	nan	nan	nan	0
